INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.302175, 3.5347586, 85.57304], Vector3f[-4.3634877, 3.1616716, 85.63435], Vector3f[-4.2104144, 3.5347586, 85.63435]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 3.7840471, 85.48128], Vector3f[-4.102175, 3.8715858, 85.37304], Vector3f[-4.0435967, 3.7840471, 85.51446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 3.1616716, 85.74259], Vector3f[-4.102175, 2.7215858, 85.77304], Vector3f[-3.949102, 2.7215858, 85.74259]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2435966, 1.6591244, 85.43162], Vector3f[-4.102175, 1.5715858, 85.37304], Vector3f[-4.2104144, 1.6591244, 85.48128]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.3634877, 3.1616716, 85.63435], Vector3f[-4.2552485, 2.7215858, 85.74259], Vector3f[-4.2435966, 3.1616716, 85.71446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.960754, 3.1616716, 85.71446], Vector3f[-3.949102, 2.7215858, 85.74259], Vector3f[-3.8408628, 3.1616716, 85.63435]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.9021752, 1.9084129, 85.57304], Vector3f[-3.993936, 1.6591244, 85.48128], Vector3f[-3.8408628, 1.9084129, 85.48128]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2104144, 3.7840471, 85.48128], Vector3f[-4.3634877, 3.5347586, 85.48128], Vector3f[-4.302175, 3.5347586, 85.57304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8193326, 2.7215858, 85.65588], Vector3f[-3.8408628, 2.2814999, 85.63435], Vector3f[-3.7326233, 2.7215858, 85.526115]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.1607537, 1.6591244, 85.23162], Vector3f[-4.102175, 1.5715858, 85.37304], Vector3f[-4.2104144, 1.6591244, 85.2648]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.385018, 1.9084129, 85.37304], Vector3f[-4.2552485, 1.6591244, 85.37304], Vector3f[-4.3634877, 1.9084129, 85.48128]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.3634877, 1.9084129, 85.48128], Vector3f[-4.2435966, 1.6591244, 85.43162], Vector3f[-4.2104144, 1.6591244, 85.48128]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.471727, 2.7215858, 85.21996], Vector3f[-4.471727, 2.2814999, 85.37304], Vector3f[-4.5021753, 2.7215858, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 1.9084129, 85.48128], Vector3f[-3.949102, 1.6591244, 85.37304], Vector3f[-3.8193326, 1.9084129, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.960754, 3.7840471, 85.31446], Vector3f[-4.102175, 3.8715858, 85.37304], Vector3f[-3.949102, 3.7840471, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 3.1616716, 85.74259], Vector3f[-3.949102, 2.7215858, 85.74259], Vector3f[-3.960754, 3.1616716, 85.71446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.385018, 2.7215858, 85.65588], Vector3f[-4.3634877, 2.2814999, 85.63435], Vector3f[-4.2552485, 2.7215858, 85.74259]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.960754, 3.7840471, 85.43162], Vector3f[-3.8408628, 3.5347586, 85.48128], Vector3f[-3.949102, 3.7840471, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 3.5347586, 85.63435], Vector3f[-4.102175, 3.1616716, 85.74259], Vector3f[-3.960754, 3.1616716, 85.71446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 3.7840471, 85.21996], Vector3f[-3.993936, 3.5347586, 85.111725], Vector3f[-4.102175, 3.5347586, 85.090195]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 1.9084129, 85.63435], Vector3f[-4.0435967, 1.6591244, 85.51446], Vector3f[-3.993936, 1.6591244, 85.48128]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.3634877, 2.2814999, 85.63435], Vector3f[-4.2104144, 1.9084129, 85.63435], Vector3f[-4.2435966, 2.2814999, 85.71446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.960754, 3.7840471, 85.43162], Vector3f[-4.102175, 3.8715858, 85.37304], Vector3f[-3.993936, 3.7840471, 85.48128]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.949102, 2.7215858, 85.00349], Vector3f[-4.102175, 2.2814999, 85.00349], Vector3f[-4.102175, 2.7215858, 84.97304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2104144, 3.7840471, 85.48128], Vector3f[-4.302175, 3.5347586, 85.57304], Vector3f[-4.2104144, 3.5347586, 85.63435]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.443597, 2.2814999, 85.23162], Vector3f[-4.3634877, 1.9084129, 85.2648], Vector3f[-4.471727, 2.2814999, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 3.7840471, 85.48128], Vector3f[-3.9021752, 3.5347586, 85.57304], Vector3f[-3.8408628, 3.5347586, 85.48128]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 3.5347586, 85.111725], Vector3f[-3.8408628, 3.1616716, 85.111725], Vector3f[-3.960754, 3.1616716, 85.03162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.7326233, 2.2814999, 85.37304], Vector3f[-3.8408628, 1.9084129, 85.2648], Vector3f[-3.7607539, 2.2814999, 85.23162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.385018, 2.7215858, 85.090195], Vector3f[-4.3634877, 2.2814999, 85.111725], Vector3f[-4.471727, 2.7215858, 85.21996]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2435966, 2.2814999, 85.71446], Vector3f[-4.2104144, 1.9084129, 85.63435], Vector3f[-4.102175, 2.2814999, 85.74259]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2104144, 1.9084129, 85.63435], Vector3f[-4.1607537, 1.6591244, 85.51446], Vector3f[-4.102175, 1.6591244, 85.526115]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2552485, 2.7215858, 85.00349], Vector3f[-4.102175, 2.2814999, 85.00349], Vector3f[-4.2435966, 2.2814999, 85.03162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 3.7840471, 85.2648], Vector3f[-3.993936, 3.5347586, 85.111725], Vector3f[-4.0435967, 3.7840471, 85.23162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 3.5347586, 85.2648], Vector3f[-3.7607539, 3.1616716, 85.23162], Vector3f[-3.8408628, 3.1616716, 85.111725]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 3.5347586, 85.48128], Vector3f[-3.8408628, 3.1616716, 85.63435], Vector3f[-3.7607539, 3.1616716, 85.51446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.960754, 1.6591244, 85.43162], Vector3f[-4.102175, 1.5715858, 85.37304], Vector3f[-3.949102, 1.6591244, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 2.2814999, 85.63435], Vector3f[-3.993936, 1.9084129, 85.63435], Vector3f[-3.9021752, 1.9084129, 85.57304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.7021751, 2.7215858, 85.37304], Vector3f[-3.7326233, 2.2814999, 85.37304], Vector3f[-3.7326233, 2.7215858, 85.21996]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 3.7840471, 85.21996], Vector3f[-4.2104144, 3.5347586, 85.111725], Vector3f[-4.1607537, 3.7840471, 85.23162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 1.6591244, 85.48128], Vector3f[-4.102175, 1.5715858, 85.37304], Vector3f[-3.960754, 1.6591244, 85.43162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 3.7840471, 85.21996], Vector3f[-4.102175, 3.5347586, 85.090195], Vector3f[-4.2104144, 3.5347586, 85.111725]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2552485, 3.7840471, 85.37304], Vector3f[-4.3634877, 3.5347586, 85.2648], Vector3f[-4.385018, 3.5347586, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 3.1616716, 85.74259], Vector3f[-4.2552485, 2.7215858, 85.74259], Vector3f[-4.102175, 2.7215858, 85.77304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.1607537, 3.7840471, 85.23162], Vector3f[-4.102175, 3.8715858, 85.37304], Vector3f[-4.102175, 3.7840471, 85.21996]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 2.2814999, 85.63435], Vector3f[-3.8408628, 1.9084129, 85.48128], Vector3f[-3.7607539, 2.2814999, 85.51446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.7021751, 2.7215858, 85.37304], Vector3f[-3.7326233, 2.7215858, 85.21996], Vector3f[-3.7326233, 3.1616716, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.3634877, 2.2814999, 85.111725], Vector3f[-4.2104144, 1.9084129, 85.111725], Vector3f[-4.302175, 1.9084129, 85.17304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 2.2814999, 85.111725], Vector3f[-3.8408628, 1.9084129, 85.2648], Vector3f[-3.9021752, 1.9084129, 85.17304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 2.7215858, 85.77304], Vector3f[-4.102175, 2.2814999, 85.74259], Vector3f[-3.949102, 2.7215858, 85.74259]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 3.5347586, 85.63435], Vector3f[-3.8408628, 3.1616716, 85.63435], Vector3f[-3.9021752, 3.5347586, 85.57304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.102175, 1.9084129, 85.090195], Vector3f[-4.102175, 1.6591244, 85.21996], Vector3f[-4.2104144, 1.9084129, 85.111725]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.3634877, 1.9084129, 85.2648], Vector3f[-4.2552485, 1.6591244, 85.37304], Vector3f[-4.385018, 1.9084129, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.949102, 3.7840471, 85.37304], Vector3f[-3.8408628, 3.5347586, 85.48128], Vector3f[-3.8193326, 3.5347586, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 1.9084129, 85.63435], Vector3f[-4.102175, 1.6591244, 85.526115], Vector3f[-4.0435967, 1.6591244, 85.51446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 3.1616716, 85.111725], Vector3f[-3.8193326, 2.7215858, 85.090195], Vector3f[-3.949102, 2.7215858, 85.00349]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2552485, 2.7215858, 85.00349], Vector3f[-4.2435966, 2.2814999, 85.03162], Vector3f[-4.3634877, 2.2814999, 85.111725]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.443597, 3.1616716, 85.51446], Vector3f[-4.471727, 2.7215858, 85.526115], Vector3f[-4.3634877, 3.1616716, 85.63435]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 1.9084129, 85.2648], Vector3f[-3.993936, 1.6591244, 85.2648], Vector3f[-3.9021752, 1.9084129, 85.17304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2104144, 1.9084129, 85.63435], Vector3f[-4.102175, 1.6591244, 85.526115], Vector3f[-4.102175, 1.9084129, 85.65588]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.949102, 2.7215858, 85.74259], Vector3f[-3.960754, 2.2814999, 85.71446], Vector3f[-3.8408628, 2.2814999, 85.63435]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2104144, 1.9084129, 85.111725], Vector3f[-4.102175, 1.6591244, 85.21996], Vector3f[-4.1607537, 1.6591244, 85.23162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.302175, 3.5347586, 85.17304], Vector3f[-4.3634877, 3.1616716, 85.111725], Vector3f[-4.3634877, 3.5347586, 85.2648]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.993936, 3.5347586, 85.111725], Vector3f[-4.102175, 3.1616716, 85.00349], Vector3f[-4.102175, 3.5347586, 85.090195]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.3634877, 3.5347586, 85.2648], Vector3f[-4.3634877, 3.1616716, 85.111725], Vector3f[-4.443597, 3.1616716, 85.23162]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 1.9084129, 85.48128], Vector3f[-3.960754, 1.6591244, 85.43162], Vector3f[-3.949102, 1.6591244, 85.37304]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.949102, 1.6591244, 85.37304], Vector3f[-3.960754, 1.6591244, 85.31446], Vector3f[-3.8408628, 1.9084129, 85.2648]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.3634877, 3.1616716, 85.111725], Vector3f[-4.2552485, 2.7215858, 85.00349], Vector3f[-4.385018, 2.7215858, 85.090195]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.8408628, 2.2814999, 85.111725], Vector3f[-3.9021752, 1.9084129, 85.17304], Vector3f[-3.993936, 1.9084129, 85.111725]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-3.949102, 2.7215858, 85.74259], Vector3f[-4.102175, 2.2814999, 85.74259], Vector3f[-3.960754, 2.2814999, 85.71446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2104144, 1.9084129, 85.63435], Vector3f[-4.2104144, 1.6591244, 85.48128], Vector3f[-4.1607537, 1.6591244, 85.51446]) -> false
INFO RayTracer getTriangle rayTracerUtil.rayColidesWithTriangle(Vector3f[-4.102175, 2.0715857, 85.37304], Vector3f[-0.33926284, 0.04384362, 0.9396693], Vector3f[-4.2104144, 1.6591244, 85.2648], Vector3f[-4.102175, 1.5715858, 85.37304], Vector3f[-4.2435966, 1.6591244, 85.31446]) -> false
